category,question,answer
매표소,매표소는 어디에 있나요?,1층에 있어요.
안내데스크,안내데스크는 어디에 있나요?,1층에 있어요.
수유실,수유실은 어디에 있나요?,1층에 있어요.
유아휴게실,유아휴게실은 어디에 있나요?,1층에 있어요.
의무실,의무실은 어디에 있나요?,1층에 있어요.
물품보관함,물품보관함(락커)은 어디에 있나요?,"1층과 2층에 있어요."
유모차대여,유모차 대여는 어디서 하나요?,1층에서 대여할 수 있어요.
휠체어대여,휠체어 대여는 어디서 하나요?,1층에서 대여할 수 있어요.
휴게실,휴게실은 어디에 있나요?,"2층에 있어요. 영유아놀이터도 포함되어 있어요."
옥상,옥상에 올라갈 수 있나요?,"3층 옥상에 하늘마당이 있어요."
꿈트리,꿈트리 동산은 어디에 있나요?,"1층에 있어요. 창경궁 방향이에요."
